Date,aapl,msft,c,gs,ge
2009-12-31,19.996618270874023,24.152580261230469,30.996284484863281,149.39787292480469,10.568079948425293
2010-01-04,20.307868957519531,24.525018692016602,31.839084625244141,153.149658203125,10.791595458984375
2010-01-05,20.342979431152344,24.532941818237305,33.056468963623047,155.8572998046875,10.847475051879883
2010-01-06,20.019397735595703,24.382377624511719,34.086544036865234,154.19378662109375,10.791595458984375
2010-01-07,19.982389450073242,24.128808975219727,34.180202484130859,157.21112060546875,11.350384712219238
2010-01-08,20.115240097045898,24.29521369934082,33.618316650390625,154.23802185058594,11.594853401184082
2010-01-11,19.937789916992188,23.986179351806641,33.992908477783203,151.80470275878906,11.706612586975098
2010-01-12,19.710992813110352,23.827693939208984,32.962825775146484,148.49537658691406,11.713596343994141
2010-01-13,19.989030838012695,24.049570083618164,32.775539398193359,149.60142517089844,11.75550365447998
2010-01-14,19.873258590698242,24.532941818237305,32.869186401367188,149.12361145019531,11.664699554443359
2010-01-15,19.541139602661133,24.453693389892578,32.026371002197266,146.18586730957031,11.48309326171875
2010-01-19,20.405605316162109,24.643880844116211,33.150115966796875,147.64588928222656,11.552943229675293
2010-01-20,20.091518402099609,24.23974609375,32.400955200195312,148.46879577636719,11.525004386901855
2010-01-21,19.744209289550781,23.780155181884766,30.621709823608398,142.34562683105469,11.189731597900391
2010-01-22,18.764919281005859,22.948127746582031,30.434412002563477,136.37289428710938,11.252596855163574
2010-01-25,19.269748687744141,23.233394622802734,30.247127532958984,137.13388061523438,11.434201240539551
2010-01-26,19.542087554931641,23.37602424621582,29.497976303100586,133.50602722167969,11.420231819152832
2010-01-27,19.726181030273438,23.510740280151367,29.966203689575195,134.05462646484375,11.385307312011719
2010-01-28,18.911056518554688,23.106603622436523,30.340782165527344,135.63853454589844,11.287521362304688
2010-01-29,18.224987030029297,22.330047607421875,31.089931488037109,131.59469604492188,11.231637954711914
2010-02-01,18.478347778320312,22.512296676635742,31.277229309082031,135.4969482421875,11.350384712219238
2010-02-02,18.585580825805664,22.551925659179688,31.932729721069336,138.86824035644531,11.769474983215332
2010-02-03,18.905357360839844,22.686628341674805,31.558162689208984,139.12480163574219,11.650731086730957
2010-02-04,18.224039077758789,22.060628890991211,29.778905868530273,133.32907104492188,11.203700065612793
2010-02-05,18.547622680664062,22.203266143798828,30.15349006652832,136.40834045410156,11.029081344604492
2010-02-08,18.420461654663086,21.965539932250977,29.497976303100586,133.70069885253906,10.896368026733398
2010-02-09,18.616891860961914,22.195339202880859,29.778905868530273,134.93060302734375,10.896368026733398
2010-02-10,18.515354156494141,22.17949104309082,29.966203689575195,135.93934631347656,10.959231376647949
2010-02-11,18.852224349975586,22.282506942749023,30.059837341308594,136.31098937988281,11.015111923217773
2010-02-12,19.014488220214844,22.131946563720703,29.778905868530273,136.20480346679688,10.861445426940918
2010-02-16,19.301065444946289,22.569808959960938,30.996284484863281,139.27523803710938,11.203700065612793
2010-02-17,19.220403671264648,22.760879516601562,31.932729721069336,139.15135192871094,11.280533790588379
2010-02-18,19.256464004516602,23.063396453857422,32.120025634765625,137.79751586914062,11.343400955200195
2010-02-19,19.136896133422852,22.904169082641602,32.026371002197266,138.19573974609375,11.294503211975098
2010-02-22,19.018285751342773,22.872325897216797,32.400955200195312,138.66468811035156,11.350384712219238
2010-02-23,18.699447631835938,22.553882598876953,31.37086296081543,138.65583801269531,11.140835762023926
2010-02-24,19.041057586669922,22.792718887329102,32.307308197021484,140.09822082519531,11.25958251953125
2010-02-25,19.168212890625,22.768833160400391,31.745447158813477,138.42575073242188,11.192091941833496
2010-02-26,19.416830062866211,22.824563980102539,31.839084625244141,138.65632629394531,11.29051399230957
2010-03-01,19.831508636474609,23.103206634521484,31.745447158813477,138.82479858398438,11.178027153015137
2010-03-02,19.818231582641602,22.657377243041992,31.839084625244141,140.78474426269531,11.178027153015137
2010-03-03,19.86376953125,22.657377243041992,31.839084625244141,139.87127685546875,11.26942253112793
2010-03-04,19.994728088378906,22.792718887329102,32.120025634765625,145.09474182128906,11.325662612915039
2010-03-05,20.776634216308594,22.760879516601562,32.775539398193359,148.26072692871094,11.494388580322266
2010-03-08,20.788972854614258,22.792718887329102,33.337390899658203,150.61973571777344,11.438148498535156
2010-03-09,21.162851333618164,22.928054809570312,35.772144317626953,149.74179077148438,11.592811584472656
2010-03-10,21.335550308227539,23.063396453857422,37.083171844482422,152.48213195800781,11.606873512268066
2010-03-11,21.398176193237305,23.230581283569336,39.143333435058594,153.87440490722656,11.585782051086426
2010-03-12,21.5025634765625,23.302227020263672,37.176811218261719,155.16030883789062,11.979474067687988
2010-03-15,21.240657806396484,23.318153381347656,36.427658081054688,153.89213562011719,12.155230522155762
2010-03-16,21.298542022705078,23.381845474243164,37.925956726074219,156.25111389160156,12.703588485717773
2010-03-17,21.267227172851562,23.588829040527344,37.925956726074219,156.65022277832031,12.682491302490234
2010-03-18,21.317520141601562,23.572908401489258,37.645042419433594,157.36849975585938,12.787947654724121
2010-03-19,21.089778900146484,23.556985855102539,36.521305084228516,157.76759338378906,12.703588485717773
2010-03-22,21.327011108398438,23.564949035644531,37.832324981689453,156.22453308105469,12.703588485717773
2010-03-23,21.669570922851562,23.787858963012695,38.675128936767578,155.04496765136719,12.886368751525879
2010-03-24,21.765413284301758,23.604753494262695,38.862407684326172,154.67254638671875,12.970733642578125
2010-03-25,21.507301330566406,23.891361236572266,39.986133575439453,155.1070556640625,12.865279197692871
2010-03-26,21.91059684753418,23.612712860107422,40.360725402832031,153.30682373046875,12.893401145935059
