,市值,成本,手续费,收益,收益率,日期
0,881.5,884.46000000000004,0.26000000000000001,0.99665332519277294,-0.0033466748072270569,20180313
1,874.10000000000014,884.46000000000004,0.26000000000000001,0.98828663817470563,-0.011713361825294366,20180314
2,876.90000000000009,884.46000000000004,0.26000000000000001,0.9914524116410014,-0.0085475883589986035,20180315
3,872.60000000000002,884.46000000000004,0.26000000000000001,0.9865906881034755,-0.013409311896524501,20180316
4,873.79999999999995,884.46000000000004,0.26000000000000001,0.98794744816045943,-0.012052551839540571,20180319
5,865.60000000000002,884.46000000000004,0.26000000000000001,0.97867625443773598,-0.021323745562264018,20180320
6,863.70000000000005,884.46000000000004,0.26000000000000001,0.97652805101417817,-0.023471948985821833,20180321
7,858.89999999999998,884.46000000000004,0.26000000000000001,0.97110101078624234,-0.028898989213757664,20180322
8,830.20000000000005,884.46000000000004,0.26000000000000001,0.93865183275671027,-0.061348167243289731,20180323
9,825.0,884.46000000000004,0.26000000000000001,0.93277253917644665,-0.067227460823553353,20180326
10,1917.2,1950.78,0.58000000000000007,0.982786372630435,-0.017213627369564999,20180327
11,1858.9000000000001,1950.78,0.58000000000000007,0.95290089092568109,-0.047099109074318912,20180328
12,1873.4000000000001,1950.78,0.58000000000000007,0.960333815191872,-0.039666184808128002,20180329
13,1876.1999999999998,1950.78,0.58000000000000007,0.9617691384984467,-0.038230861501553304,20180330
14,1865.0999999999999,1950.78,0.58000000000000007,0.95607910681881092,-0.04392089318118908,20180402
15,1834.5999999999999,1950.78,0.58000000000000007,0.94044433508647818,-0.059555664913521822,20180403
16,1834.5999999999999,1950.78,0.58000000000000007,0.94044433508647818,-0.059555664913521822,20180404
17,1842.0999999999999,1950.78,0.58000000000000007,0.94428895108623212,-0.05571104891376788,20180409
18,1878.5999999999999,1950.78,0.58000000000000007,0.96299941561836799,-0.037000584381632007,20180410
19,2665.6999999999998,2739.02,0.82000000000000006,0.97323130170644967,-0.02676869829355033,20180411
20,2865.4000000000001,2956.8199999999997,0.92000000000000004,0.96908164852781042,-0.030918351472189576,20180412
21,2867.8000000000002,2956.8199999999997,0.92000000000000004,0.96989333134921996,-0.030106668650780044,20180413
22,2835.0,2956.8199999999997,0.92000000000000004,0.95880033278995691,-0.041199667210043089,20180416
23,2824.0,2956.8199999999997,0.92000000000000004,0.95508011985849672,-0.044919880141503277,20180417
24,2850.5999999999995,2956.8199999999997,0.92000000000000004,0.96407627112911831,-0.035923728870881688,20180418
25,2873.0,2956.8199999999997,0.92000000000000004,0.97165197746227372,-0.028348022537726281,20180419
26,2841.6000000000004,2956.8199999999997,0.92000000000000004,0.96103246054883307,-0.038967539451166933,20180420
27,3864.8000000000002,3993.6300000000001,1.23,0.96774112774593546,-0.032258872254064541,20180423
28,3916.0,3993.6300000000001,1.23,0.98056154425923281,-0.019438455740767191,20180424
29,3864.8999999999996,3993.6300000000001,1.23,0.96776616762193779,-0.03223383237806221,20180425
30,3826.9000000000001,3993.6300000000001,1.23,0.95825101474097496,-0.04174898525902504,20180426
31,3886.6999999999998,3993.6300000000001,1.23,0.97322486059049029,-0.026775139409509707,20180427
32,3890.8999999999996,3993.6300000000001,1.23,0.97427653538259662,-0.02572346461740338,20180502
33,3892.9000000000001,3993.6300000000001,1.23,0.97477733290264745,-0.025222667097352547,20180503
34,3890.2000000000003,3993.6300000000001,1.23,0.97410125625057908,-0.025898743749420916,20180504
35,3958.5,3993.6300000000001,1.23,0.99120349156030974,-0.0087965084396902649,20180507
36,3987.0999999999999,3993.6300000000001,1.23,0.99836489609703449,-0.0016351039029655068,20180508
37,3979.7999999999997,3993.6300000000001,1.23,0.99653698514884947,-0.0034630148511505254,20180509
38,5031.1999999999998,4998.0599999999995,1.5600000000000001,1.0066305726621929,0.0066305726621929129,20180510
39,5028.1000000000004,4998.0599999999995,1.5600000000000001,1.0060103320088196,0.0060103320088196188,20180511
40,5049.8999999999996,4998.0599999999995,1.5600000000000001,1.0103720243454462,0.010372024345446151,20180514
41,5056.3999999999996,4998.0599999999995,1.5600000000000001,1.0116725289412292,0.011672528941229166,20180515
42,5012.0,4998.0599999999995,1.5600000000000001,1.0027890821638796,0.0027890821638796304,20180516
43,5008.8999999999996,4998.0599999999995,1.5600000000000001,1.0021688415105061,0.0021688415105061143,20180517
44,5037.2999999999993,4998.0599999999995,1.5600000000000001,1.0078510462059278,0.007851046205927803,20180518
45,5066.6000000000004,4998.0599999999995,1.5600000000000001,1.0137133207684583,0.013713320768458326,20180521
46,5047.3999999999996,4998.0599999999995,1.5600000000000001,1.0098718302701448,0.0098718302701448213,20180522
47,5838.3999999999996,5845.3199999999997,1.8200000000000001,0.99881614693464171,-0.0011838530653582868,20180523
48,5843.6000000000004,5845.3199999999997,1.8200000000000001,0.99970574750398622,-0.00029425249601378045,20180524
49,5841.2000000000007,5845.3199999999997,1.8200000000000001,0.99929516262582729,-0.00070483737417270653,20180525
50,5872.3999999999996,5845.3199999999997,1.8200000000000001,1.0046327660418932,0.0046327660418932215,20180528
51,5841.1999999999998,5845.3199999999997,1.8200000000000001,0.99929516262582718,-0.00070483737417281755,20180529
52,5764.3999999999996,5845.3199999999997,1.8200000000000001,0.9861564465247411,-0.013843553475258896,20180530
53,5862.3999999999996,5845.3199999999997,1.8200000000000001,1.0029219957162312,0.002921995716231196,20180531
54,5830.8000000000002,5845.3199999999997,1.8200000000000001,0.9975159614871385,-0.0024840385128614972,20180601
55,5912.0,5845.3199999999997,1.8200000000000001,1.0114074165315159,0.01140741653151589,20180604
56,5973.6000000000004,5845.3199999999997,1.8200000000000001,1.0219457617375953,0.021945761737595326,20180605
57,5975.1999999999998,5845.3199999999997,1.8200000000000001,1.0222194849897013,0.022219484989701277,20180606
58,7112.7000000000007,6960.46,2.1600000000000001,1.021872117647397,0.021872117647397049,20180607
59,7875.5,7820.1100000000006,2.4100000000000001,1.0070830205713217,0.0070830205713217076,20180608
60,7929.6999999999998,7820.1100000000006,2.4100000000000001,1.0140138693701239,0.014013869370123944,20180611
61,7979.6000000000004,7820.1100000000006,2.4100000000000001,1.0203948537808292,0.02039485378082917,20180612
62,7962.6999999999998,7820.1100000000006,2.4100000000000001,1.0182337588601693,0.018233758860169313,20180613
