Date,spy,agg
2009-12-31,92.561058044433594,80.3294677734375
2010-01-04,94.130867004394531,80.422859191894531
2010-01-05,94.380073547363281,80.788780212402344
2010-01-06,94.446495056152344,80.742088317871094
2010-01-07,94.845207214355469,80.648628234863281
2010-01-08,95.160804748535156,80.695350646972656
2010-01-11,95.293701171875,80.633071899414062
2010-01-12,94.404960632324219,81.146873474121094
2010-01-13,95.202346801757812,80.804359436035156
2010-01-14,95.459831237792969,81.0145263671875
2010-01-15,94.388381958007812,81.170173645019531
2010-01-19,95.567794799804688,81.037872314453125
2010-01-20,94.59600830078125,81.248062133789062
2010-01-21,92.777000427246094,81.271453857421875
2010-01-22,90.708869934082031,81.318138122558594
2010-01-25,91.173965454101562,81.310310363769531
2010-01-26,90.791885375976562,81.411552429199219
2010-01-27,91.223800659179688,81.349220275878906
2010-01-28,90.177261352539062,81.279182434082031
2010-01-29,89.197174072265625,81.466041564941406
2010-02-01,90.584243774414062,81.354400634765625
2010-02-02,91.680625915527344,81.448097229003906
2010-02-03,91.223800659179688,81.299705505371094
2010-02-04,88.408119201660156,81.494918823242188
2010-02-05,88.590858459472656,81.526168823242188
2010-02-08,87.951278686523438,81.682373046875
2010-02-09,89.055992126464844,81.533920288085938
2010-02-10,88.881561279296875,81.346580505371094
2010-02-11,89.811798095703125,81.213813781738281
2010-02-12,89.737052917480469,81.229400634765625
2010-02-16,91.149040222167969,81.432426452636719
2010-02-17,91.580986022949219,81.182571411132812
2010-02-18,92.120857238769531,81.151344299316406
2010-02-19,92.311882019042969,81.213813781738281
2010-02-22,92.328498840332031,81.073272705078125
2010-02-23,91.207206726074219,81.362167358398438
2010-02-24,92.046104431152344,81.448097229003906
2010-02-25,91.921493530273438,81.612060546875
2010-02-26,91.979667663574219,81.627693176269531
2010-03-01,92.934829711914062,81.747520446777344
2010-03-02,93.19232177734375,81.778877258300781
2010-03-03,93.275367736816406,81.778877258300781
2010-03-04,93.557754516601562,81.927688598632812
2010-03-05,94.895034790039062,81.771011352539062
2010-03-08,94.911651611328125,81.82586669921875
2010-03-09,95.0694580078125,81.919876098632812
2010-03-10,95.493049621582031,81.865020751953125
2010-03-11,95.891738891601562,81.865020751953125
2010-03-12,95.9000244140625,81.872833251953125
2010-03-15,95.924964904785156,81.9747314453125
2010-03-16,96.689117431640625,82.123527526855469
2010-03-17,97.262214660644531,82.186180114746094
2010-03-18,97.212379455566406,82.11572265625
2010-03-19,96.720314025878906,82.053031921386719
2010-03-22,97.237388610839844,82.11572265625
2010-03-23,97.921287536621094,82.131362915039062
2010-03-24,97.445907592773438,81.716209411621094
2010-03-25,97.287452697753906,81.504714965820312
2010-03-26,97.229057312011719,81.63787841796875
2010-03-29,97.846229553222656,81.543876647949219
2010-03-30,97.912948608398438,81.5751953125
2010-03-31,97.579322814941406,81.622207641601562
2010-04-01,98.246551513671875,81.591583251953125
2010-04-05,99.04718017578125,81.08868408203125
2010-04-06,99.280731201171875,81.19085693359375
2010-04-07,98.713600158691406,81.536582946777344
2010-04-08,99.0555419921875,81.457969665527344
2010-04-09,99.706062316894531,81.544395446777344
2010-04-12,99.864532470703125,81.732978820800781
2010-04-13,99.939582824707031,81.866561889648438
2010-04-14,101.07383728027344,81.772308349609375
2010-04-15,101.15723419189453,81.92156982421875
2010-04-16,99.547607421875,82.047294616699219
2010-04-19,99.922904968261719,81.898033142089844
2010-04-20,100.8153076171875,82.031593322753906
2010-04-21,100.63184356689453,82.173011779785156
2010-04-22,100.93207550048828,82.008010864257812
2010-04-23,101.59092712402344,81.905860900878906
2010-04-26,101.20729064941406,81.898033142089844
2010-04-27,98.813682556152344,82.157264709472656
2010-04-28,99.564285278320312,82.031593322753906
2010-04-29,100.79862976074219,82.063026428222656
2010-04-30,99.088905334472656,82.416580200195312
2010-05-03,100.373291015625,82.260536193847656
2010-05-04,98.013038635253906,82.591522216796875
2010-05-05,97.42919921875,82.528495788574219
2010-05-06,94.193267822265625,82.646697998046875
2010-05-07,92.792098999023438,82.284210205078125
2010-05-10,96.878761291503906,82.27630615234375
2010-05-11,96.603530883789062,82.583625793457031
2010-05-12,97.954627990722656,82.496963500976562
2010-05-13,96.736991882324219,82.615180969238281
2010-05-14,94.985557556152344,82.914688110351562
2010-05-17,95.035598754882812,82.851593017578125
2010-05-18,93.742881774902344,83.135322570800781
2010-05-19,93.2091064453125,83.17474365234375
2010-05-20,89.689613342285156,83.103782653808594
2010-05-21,90.998985290527344,83.458404541015625
2010-05-24,89.831375122070312,83.411148071289062
2010-05-25,89.923126220703125,83.513603210449219
2010-05-26,89.380996704101562,83.419013977050781
2010-05-27,92.3751220703125,83.221992492675781
2010-05-28,91.2158203125,83.3087158203125
2010-06-01,89.681236267089844,83.446220397949219
2010-06-02,92.016494750976562,83.359291076660156
2010-06-03,92.333396911621094,83.319747924804688
2010-06-04,89.089103698730469,83.533226013183594
2010-06-07,87.979843139648438,83.778274536132812
2010-06-08,88.922279357910156,83.683387756347656
2010-06-09,88.446914672851562,83.730812072753906
2010-06-10,91.032356262207031,83.477851867675781
2010-06-11,91.474365234375,83.52532958984375
2010-06-14,91.33258056640625,83.643875122070312
2010-06-15,93.409286499023438,83.643875122070312
2010-06-16,93.37591552734375,83.770370483398438
2010-06-17,93.52606201171875,83.968002319335938
2010-06-18,93.627449035644531,83.833625793457031
2010-06-21,93.359291076660156,84.015396118164062
2010-06-22,91.817413330078125,84.102401733398438
2010-06-23,91.532493591308594,84.315811157226562
2010-06-24,90.015754699707031,84.244667053222656
